posx, posy, velx, vely, rot, lap, checkpoint, health, relposx, relposy, relvelx, relvely, relrot, enemyHealth, relCheckpointPosx, relCheckpointPosy, relCheckpointRot, gas, rotate, boost
473.688, 242.839, -2.44023, 0.11856, 279.75, 1, 1, 67, -80.9265, -29.0001, 3.67968, -3.69543, -29.4648, 62, -149.688, -104.839, -44.7563, 100, 0, 0
471.051, 242.924, -2.55822, 0.08216, 279.75, 1, 1, 67, -76.2095, -33.4085, 3.73174, -3.58836, -33.4212, 62, -147.051, -104.924, -45.2582, 100, 0, 0
468.295, 242.972, -2.67268, 0.0468518, 279.75, 1, 1, 67, -71.4769, -37.728, 3.7834, -3.48043, -37.5763, 62, -144.295, -104.972, -45.7847, 100, 0, 0
465.426, 242.985, -2.78367, 0.0126027, 279.75, 1, 1, 67, -66.7291, -41.9558, 3.8349, -3.37183, -41.9091, 62, -141.426, -104.985, -46.3373, 100, 0, 0
464.172, 244.05, -1.69921, 0.728954, 279.75, 1, 1, 67, -65.3528, -48.3325, 1.50231, -4.76187, -46.2349, 57, -140.172, -106.05, -46.8596, 100, 0, 0
462.276, 244.745, -1.83943, 0.674242, 279.75, 1, 1, 67, -62.8981, -53.9446, 1.62444, -4.60879, -50.3677, 57, -138.276, -106.745, -47.4167, 100, 0, 0
460.239, 245.385, -1.97542, 0.621171, 279.75, 1, 1, 67, -60.3645, -59.4187, 1.74346, -4.45806, -54.2972, 57, -136.239, -107.385, -47.9951, 100, 0, 0
458.067, 245.972, -2.10736, 0.569693, 279.75, 1, 1, 67, -57.7543, -64.755, 1.85968, -4.30974, -58.0202, 57, -134.067, -107.972, -48.5963, 100, 0, 0
455.762, 246.508, -2.23534, 0.519759, 279.75, 1, 1, 67, -55.0685, -69.9524, 1.97487, -4.16269, -61.5388, 57, -131.762, -108.508, -49.2216, 100, 0, 0
453.33, 246.994, -2.35945, 0.471322, 279.75, 1, 1, 67, -52.3087, -75.0113, 2.08764, -4.01816, -64.8599, 57, -129.33, -108.994, -49.8725, 100, 0, 0
450.773, 247.432, -2.47983, 0.424339, 279.75, 1, 1, 67, -49.4766, -79.9325, 2.19818, -3.87623, -67.9929, 57, -126.773, -109.432, -50.5506, 100, 0, 0
448.096, 247.822, -2.59661, 0.378765, 279.75, 1, 1, 67, -46.5736, -84.7166, 2.30668, -3.73691, -70.9495, 57, -124.096, -109.822, -51.2576, 100, 0, 0
445.302, 248.167, -2.70991, 0.334559, 279.75, 1, 1, 67, -43.6008, -89.3647, 2.41332, -3.60027, -73.742, 57, -121.302, -110.167, -51.9953, 100, 0, 0
442.396, 248.468, -2.81978, 0.291679, 279.75, 1, 1, 67, -40.5592, -93.8779, 2.51818, -3.46631, -76.3832, 57, -118.396, -110.468, -52.7657, 100, 0, 0
439.379, 248.726, -2.92636, 0.250085, 279.75, 1, 1, 67, -37.4511, -98.2584, 2.61965, -3.33589, -78.8853, 57, -115.379, -110.726, -53.5706, 100, 0, 0
436.255, 248.942, -3.02977, 0.209739, 279.75, 1, 1, 67, -34.2773, -102.507, 2.71971, -3.20815, -81.2603, 57, -112.255, -110.942, -54.4124, 100, 0, 0
433.028, 249.118, -3.13007, 0.170603, 279.75, 1, 1, 67, -31.0381, -106.626, 2.81843, -3.08313, -83.5198, 57, -109.028, -111.118, -55.2934, 100, 0, 0
429.701, 249.254, -3.22737, 0.132642, 279.75, 1, 1, 67, -28.548, -110.137, 2.66503, -2.8181, -85.218, 57, -105.701, -111.254, -56.2159, 100, 0, 0
426.277, 249.353, -3.32172, 0.095819, 279.75, 1, 1, 67, -24.7468, -114.205, 3.47169, -3.03537, -87.5233, 57, -102.277, -111.353, -57.1825, 100, 0, 0
422.758, 249.415, -3.41327, 0.0601009, 279.75, 1, 1, 67, -21.5988, -117.88, 3.33816, -2.83628, -89.3667, 57, -98.7578, -111.415, -58.196, 100, 0, 0
419.147, 249.441, -3.50204, 0.0254544, 279.75, 1, 1, 67, -17.8729, -121.624, 3.41972, -2.72053, -91.3897, 57, -95.1475, -111.441, -59.2593, 100, 0, 0
415.448, 249.433, -3.58815, -0.00815267, 279.75, 1, 1, 67, -14.0977, -125.245, 3.49879, -2.60793, -93.3273, 57, -91.4483, -111.433, -60.3753, 100, 0, 0
411.663, 249.391, -3.6717, -0.0407516, 279.75, 1, 1, 67, -10.2747, -128.745, 3.57547, -2.49841, -95.1867, 57, -87.6631, -111.391, -61.5474, 100, 0, 0
407.794, 249.316, -3.75272, -0.0723725, 279.75, 1, 1, 67, -6.40317, -132.128, 3.65168, -2.39162, -96.9751, 57, -83.7943, -111.316, -62.7787, 100, 0, 0
